roof,yardline_100,p
dome,1,0.9971295577
dome,2,0.9963630686
dome,3,0.9953978604
dome,4,0.9941929204
dome,5,0.9927055366
dome,6,0.9908922805
dome,7,0.9887087417
dome,8,0.9861072260
dome,9,0.9830320463
dome,10,0.9794127445
dome,11,0.9751563583
dome,12,0.9701404819
dome,13,0.9642093051
dome,14,0.9571751619
dome,15,0.9488284339
dome,16,0.9389587277
dome,17,0.9273893570
dome,18,0.9140243363
dome,19,0.8989017169
dome,20,0.8822401177
dome,21,0.8644600700
dome,22,0.8461630825
dome,23,0.8280620023
dome,24,0.8108734072
dome,25,0.7951979512
dome,26,0.7814193399
dome,27,0.7696448744
dome,28,0.7596955685
dome,29,0.7511394814
dome,30,0.7433531891
dome,31,0.7355942124
dome,32,0.7270702156
dome,33,0.7169966587
dome,34,0.7046411921
dome,35,0.6893585016
dome,36,0.6706220918
dome,37,0.6480588678
dome,38,0.6214883961
dome,39,0.5909624373
dome,40,0.5567938883
dome,41,0.5195608074
dome,42,0.4800737277
dome,43,0.4393037847
dome,45,0.3579922292
dome,47,0.2827818555
outdoors,1,0.9907683939
outdoors,2,0.9892791669
outdoors,3,0.9875535483
outdoors,4,0.9855566771
outdoors,5,0.9832499990
outdoors,6,0.9805912606
outdoors,7,0.9775346184
outdoors,8,0.9740308871
outdoors,9,0.9700279487
outdoors,10,0.9654713393
outdoors,11,0.9603050254
outdoors,12,0.9544723760
outdoors,13,0.9479173310
outdoors,14,0.9405857601
outdoors,15,0.9324269969
outdoors,16,0.9233955212
outdoors,17,0.9134527347
outdoors,18,0.9025687451
outdoors,19,0.8907240225
outdoors,20,0.8779107461
outdoors,21,0.8641336138
outdoors,22,0.8494098735
outdoors,23,0.8337683621
outdoors,24,0.8172474272
outdoors,25,0.7998917511
outdoors,26,0.7817482939
outdoors,27,0.7628617692
outdoors,28,0.7432702484
outdoors,29,0.7230015830
outdoors,30,0.7020713372
outdoors,31,0.6804827974
outdoors,32,0.6582294043
outdoors,33,0.6352996421
outdoors,34,0.6116840689
outdoors,35,0.5873838170
outdoors,36,0.5624195737
outdoors,37,0.5368398247
outdoors,38,0.5107270593
outdoors,39,0.4842007460
outdoors,40,0.4574162287
outdoors,41,0.4305592542
outdoors,42,0.4038365396
outdoors,43,0.3774634884
outdoors,44,0.3516506917
outdoors,45,0.3265910620
outdoors,46,0.3024492785
outdoors,47,0.2793547250
retractable,1,0.9894071246
retractable,2,0.9877971239
retractable,3,0.9859465510
retractable,4,0.9838220035
retractable,5,0.9813870285
retractable,6,0.9786025035
retractable,7,0.9754272948
retractable,8,0.9718192424
retractable,9,0.9677364956
retractable,10,0.9631391905
retractable,11,0.9579914033
retractable,12,0.9522632489
retractable,13,0.9459329230
retractable,14,0.9389884223
retractable,15,0.9314286490
retractable,16,0.9232636166
retractable,17,0.9145135517
retractable,18,0.9052068217
retractable,19,0.8953767945
retractable,20,0.8850579266
retractable,21,0.8742815325
retractable,22,0.8630717846
retractable,23,0.8514424933
retractable,24,0.8393951332
retractable,25,0.8269184248
retractable,26,0.8139895806
retractable,27,0.8005771203
retractable,28,0.7866449728
retractable,29,0.7721574329
retractable,30,0.7570844362
retractable,31,0.7414065616
retractable,32,0.7251191736
retractable,33,0.7082351792
retractable,34,0.6907860117
retractable,35,0.6728206578
retractable,36,0.6544028027
retractable,37,0.6356064445
retractable,38,0.6165105738
retractable,39,0.5971936763
retractable,40,0.5777288490
retractable,41,0.5581802208
retractable,42,0.5386011432
retractable,43,0.5190343217
retractable,46,0.4607241903
